time,value
2006-06-22,1.7552816884203788
2006-06-23,1.6299501917239134
2006-06-24,1.1276719637754236
2006-06-25,1.086408668667176
2006-06-26,1.3497396872845882
2006-06-27,0.552768835634773
2006-06-28,0.433598584167048
2006-06-29,1.1026328149636937
2006-06-30,1.062044247113721
2006-07-01,0.7272417282514573
2006-07-02,0.939699869279456
2006-07-03,1.0254840160029095
2006-07-04,0.5383353889784541
2006-07-05,1.3470317665705862
2006-07-06,1.2506293924929677
2006-07-07,0.7885098123011957
2006-07-08,0.5852997457610609
2006-07-09,0.5384895139192334
2006-07-10,0.8013988520136722
2006-07-11,0.614546733552901
2006-07-12,0.627992482552923
2006-07-13,0.2629058928949476
2006-07-14,-1.028514324572369
2006-07-15,0.23727394286822365
2006-07-16,-0.14552461141445366
